Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3015970,-,-,-,26.93,70.9,5,245,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,10,0,0,0,0,-10.200000000000001,0,0,0,0,0.225,23.1,175.45000000000002,0.27,993,0.6000000000000001,70,1.7000000000000002
2018,1,1,1,30,9.600000000000001,0,0,0,0,-10.100000000000001,0,0,0,0,0.225,23.89,163.58,0.27,993,0.7000000000000001,68,1.6
2018,1,1,2,30,9.1,0,0,0,0,-10,0,0,0,0,0.225,24.94,150.27,0.27,993,0.8,71,1.6
2018,1,1,3,30,8.8,0,0,0,0,-9.8,0,0,0,0,0.225,25.66,136.92000000000002,0.27,992,0.8,79,1.6
2018,1,1,4,30,8.6,0,0,0,0,-9.8,0,0,0,0,0.225,26.2,123.7,0.27,992,0.9,83,1.6
2018,1,1,5,30,9.700000000000001,0,0,0,0,-9,0,0,0,0,0.277,25.77,110.72,0.27,987,0.4,55,1.3
2018,1,1,6,30,9.600000000000001,0,0,0,0,-9.1,0,0,0,0,0.277,25.86,98.07000000000001,0.27,987,0.4,69,1.3
2018,1,1,7,30,11.200000000000001,27,205,42,0,-8.9,27,205,0,42,0.277,23.490000000000002,85.78,0.27,988,0.4,82,1.4000000000000001
2018,1,1,8,30,14.100000000000001,80,572,232,0,-8.3,80,572,0,232,0.277,20.32,74.61,0.27,989,0.4,93,1.8
2018,1,1,9,30,17.3,110,738,426,0,-8.700000000000001,110,738,0,426,0.277,16.11,64.6,0.27,989,0.4,92,1.8
2018,1,1,10,30,20.8,127,822,580,0,-8.700000000000001,127,822,0,580,0.277,12.97,56.52,0.27,988,0.4,66,1.8
2018,1,1,11,30,23.200000000000003,132,872,677,0,-8.9,132,872,0,677,0.276,11.02,51.34,0.27,987,0.4,38,2
2018,1,1,12,30,24.200000000000003,134,881,700,0,-9,134,881,0,700,0.276,10.31,49.97,0.27,986,0.4,26,2
2018,1,1,13,30,24.700000000000003,130,861,652,0,-9.200000000000001,130,861,0,652,0.275,9.870000000000001,52.7,0.27,986,0.4,21,2
2018,1,1,14,30,24.5,108,849,545,0,-9.4,108,849,0,545,0.274,9.82,58.97,0.27,985,0.4,20,2
2018,1,1,15,30,23.1,90,750,374,0,-9.4,90,750,0,374,0.273,10.63,67.78,0.27,985,0.4,21,1.6
2018,1,1,16,30,20.1,60,542,171,0,-7.2,60,542,0,171,0.272,15.16,78.27,0.27,985,0.4,23,1.2000000000000002
2018,1,1,17,30,17.5,0,0,0,0,-8,0,0,0,0,0.272,16.84,89.5,0.27,986,0.4,28,1.4000000000000001
2018,1,1,18,30,16.2,0,0,0,0,-8.3,0,0,0,0,0.272,17.830000000000002,102.28,0.27,986,0.4,38,1.5
2018,1,1,19,30,15.200000000000001,0,0,0,0,-8.3,0,0,0,0,0.272,18.990000000000002,115.06,0.27,987,0.4,52,1.5
2018,1,1,20,30,14.200000000000001,0,0,0,0,-8.3,0,0,0,0,0.273,20.32,128.15,0.27,987,0.4,65,1.5
2018,1,1,21,30,13.3,0,0,0,0,-8.200000000000001,0,0,0,0,0.274,21.650000000000002,141.43,0.27,987,0.4,75,1.6
2018,1,1,22,30,12.5,0,0,0,0,-8.200000000000001,0,0,0,0,0.275,22.88,154.79,0.27,987,0.4,83,1.6
2018,1,1,23,30,11.700000000000001,0,0,0,0,-8.200000000000001,0,0,0,0,0.275,24.11,167.98,0.27,986,0.4,90,1.6
2018,1,2,0,30,11,0,0,0,0,-8.200000000000001,0,0,0,0,0.276,25.21,175.43,0.27,986,0.4,94,1.6
2018,1,2,1,30,10.4,0,0,0,0,-8.200000000000001,0,0,0,0,0.276,26.17,163.68,0.27,986,0.4,95,1.6
2018,1,2,2,30,9.9,0,0,0,0,-8.3,0,0,0,0,0.275,26.96,150.38,0.27,986,0.4,95,1.6
2018,1,2,3,30,9.3,0,0,0,0,-8.3,0,0,0,0,0.274,27.96,137.03,0.27,986,0.4,96,1.7000000000000002
2018,1,2,4,30,9,0,0,0,0,-8.4,0,0,0,0,0.274,28.46,123.8,0.27,986,0.4,97,1.7000000000000002
2018,1,2,5,30,8.1,0,0,0,0,-8.3,0,0,0,0,0.273,30.29,110.79,0.28,987,0.4,103,1.7000000000000002
2018,1,2,6,30,8.1,0,0,0,0,-8.3,0,0,0,0,0.273,30.37,98.13,0.28,987,0.4,107,1.8
2018,1,2,7,30,10.5,27,255,45,0,-8.1,27,255,0,45,0.272,26.2,85.82000000000001,0.28,988,0.5,113,2.4000000000000004
2018,1,2,8,30,14.100000000000001,70,639,240,0,-7.800000000000001,70,639,0,240,0.271,21.21,74.64,0.28,989,0.5,120,3.2
2018,1,2,9,30,17.5,94,806,440,0,-7.6000000000000005,94,806,0,440,0.271,17.3,64.6,0.28,989,0.4,126,3
2018,1,2,10,30,21.1,107,887,597,0,-7.6000000000000005,107,887,0,597,0.271,13.88,56.5,0.28,988,0.4,129,2.4000000000000004
2018,1,2,11,30,23.3,104,950,698,0,-8.9,104,950,0,698,0.27,10.96,51.29,0.28,987,0.4,140,2
2018,1,2,12,30,24.200000000000003,105,960,723,0,-9.8,105,960,0,723,0.27,9.67,49.870000000000005,0.28,987,0.4,165,1.6
2018,1,2,13,30,24.6,101,946,676,0,-10.5,101,946,0,676,0.269,8.950000000000001,52.58,0.28,986,0.4,185,1.4000000000000001
2018,1,2,14,30,24.400000000000002,94,898,559,0,-10.9,94,898,0,559,0.268,8.77,58.83,0.28,986,0.4,189,1.2000000000000002
2018,1,2,15,30,23.5,80,808,387,0,-11.100000000000001,80,808,0,387,0.267,9.08,67.65,0.28,986,0.4,180,0.8
2018,1,2,16,30,21.5,56,608,181,0,-8.8,56,608,0,181,0.266,12.31,78.13,0.28,986,0.4,150,0.6000000000000001
2018,1,2,17,30,19.6,0,0,0,0,-9.9,0,0,0,0,0.265,12.71,89.39,0.28,986,0.4,121,0.8
2018,1,2,18,30,18,0,0,0,0,-10.200000000000001,0,0,0,0,0.265,13.69,102.14,0.28,987,0.4,112,1.1
2018,1,2,19,30,16.6,0,0,0,0,-10.3,0,0,0,0,0.264,14.870000000000001,114.93,0.28,987,0.4,112,1.3
