Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3121486,-,-,-,34.09,74.82,5,1593,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,-2.7,0,0,0,7,-12.8,0,0,0,0,0.373,45.59,167.57,0.12,819,0.30000000000000004,96,1.3
2019,1,1,1,30,-2.5,0,0,0,7,-13.3,0,0,0,0,0.373,43.43,158.16,0.12,819,0.30000000000000004,96,1.3
2019,1,1,2,30,-2.2,0,0,0,7,-13.600000000000001,0,0,0,0,0.374,41.46,146.27,0.12,819,0.30000000000000004,96,1.3
2019,1,1,3,30,-2,0,0,0,7,-14,0,0,0,0,0.374,39.5,133.9,0.12,819,0.30000000000000004,97,1.3
2019,1,1,4,30,-2,0,0,0,7,-14.4,0,0,0,0,0.374,38.160000000000004,121.52,0.12,819,0.30000000000000004,98,1.3
2019,1,1,5,30,-0.4,0,0,0,7,-12.8,0,0,0,0,0.276,38.69,109.38,0.12,821,0.4,73,1.5
2019,1,1,6,30,-0.30000000000000004,0,0,0,7,-12.8,0,0,0,0,0.276,38.27,97.64,0.12,821,0.4,76,1.5
2019,1,1,7,30,1.5,28,151,38,7,-12,10,0,3,10,0.275,36.06,86.38,0.12,822,0.4,78,1.5
2019,1,1,8,30,4.5,76,550,206,7,-9.600000000000001,34,0,3,34,0.274,35.29,76.41,0.12,822,0.4,82,1.7000000000000002
2019,1,1,9,30,7,101,713,370,7,-10.200000000000001,107,0,0,107,0.274,28.32,67.8,0.12,822,0.5,101,1.9000000000000001
2019,1,1,10,30,9,124,767,492,6,-10.600000000000001,64,0,0,64,0.273,23.87,61.31,0.12,821,0.5,146,2.1
2019,1,1,11,30,10.3,146,753,549,6,-10.100000000000001,212,27,0,226,0.273,22.68,57.660000000000004,0.12,821,0.6000000000000001,185,2.7
2019,1,1,12,30,10.5,167,705,546,6,-9.700000000000001,223,35,0,242,0.273,23.09,57.42,0.12,820,0.6000000000000001,194,3.1
2019,1,1,13,30,9.8,179,608,478,9,-9.200000000000001,96,0,0,96,0.273,25.310000000000002,60.620000000000005,0.12,819,0.7000000000000001,192,2.7
2019,1,1,14,30,8.4,171,470,356,6,-6.9,21,0,0,21,0.275,33.18,66.77,0.12,819,0.7000000000000001,186,1.9000000000000001
2019,1,1,15,30,6.9,126,285,199,6,-4.800000000000001,11,0,3,11,0.276,42.94,75.13,0.12,819,0.8,179,1.2000000000000002
2019,1,1,16,30,5.7,37,56,42,7,-5.2,5,0,3,5,0.277,45.31,84.97,0.12,819,0.8,169,0.9
2019,1,1,17,30,4.9,0,0,0,7,-5.2,0,0,0,0,0.278,48.120000000000005,96.07000000000001,0.12,819,0.8,158,0.9
2019,1,1,18,30,4.3,0,0,0,7,-4.9,0,0,0,0,0.278,51.370000000000005,107.74000000000001,0.12,820,0.9,148,0.9
2019,1,1,19,30,3.7,0,0,0,7,-4.6000000000000005,0,0,0,0,0.279,54.45,119.85000000000001,0.12,819,0.9,138,1
2019,1,1,20,30,3.2,0,0,0,7,-4.5,0,0,0,0,0.279,56.980000000000004,132.21,0.12,819,0.9,130,1.1
2019,1,1,21,30,2.8000000000000003,0,0,0,7,-4.4,0,0,0,0,0.279,59.14,144.59,0.12,819,0.9,126,1.2000000000000002
2019,1,1,22,30,2.4000000000000004,0,0,0,6,-4.3,0,0,0,0,0.279,61.19,156.59,0.12,818,1,128,1.2000000000000002
2019,1,1,23,30,2.1,0,0,0,6,-4.3,0,0,0,0,0.279,62.800000000000004,166.59,0.12,818,1,135,1.3
2019,1,2,0,30,1.8,0,0,0,7,-4.2,0,0,0,0,0.279,64.62,167.54,0.12,818,1,142,1.3
2019,1,2,1,30,1.4000000000000001,0,0,0,9,-4.2,0,0,0,0,0.279,66.16,158.21,0.12,818,1,141,1.2000000000000002
2019,1,2,2,30,1.1,0,0,0,6,-4.3,0,0,0,0,0.281,67.4,146.34,0.12,818,1,138,1.3
2019,1,2,3,30,1,0,0,0,7,-4.3,0,0,0,0,0.28200000000000003,67.93,133.97,0.12,817,1,142,1.3
2019,1,2,4,30,1,0,0,0,7,-4.2,0,0,0,0,0.28300000000000003,68.42,121.59,0.12,817,1,146,1.3
2019,1,2,5,30,1.2000000000000002,0,0,0,7,-4,0,0,0,0,0.28300000000000003,68.07000000000001,109.43,0.12,817,0.9,155,1.1
2019,1,2,6,30,1.5,0,0,0,4,-3.9000000000000004,0,0,0,0,0.28200000000000003,67.15,97.68,0.12,818,0.9,160,1
2019,1,2,7,30,2.4000000000000004,25,39,28,7,-3.7,5,0,3,5,0.28,64.05,86.41,0.12,818,0.9,178,1.2000000000000002
2019,1,2,8,30,3.8000000000000003,112,280,178,6,-2.6,10,0,3,10,0.28,62.97,76.42,0.12,819,0.9,203,2.2
2019,1,2,9,30,4.9,166,444,333,7,-2.1,26,0,0,26,0.281,60.7,67.8,0.12,819,0.9,217,3.6
2019,1,2,10,30,5.7,204,517,452,7,-2,25,0,0,25,0.281,57.6,61.27,0.12,819,0.8,220,4.5
2019,1,2,11,30,6.1000000000000005,201,604,525,7,-2.7,208,24,0,220,0.281,53.4,57.59,0.12,818,0.8,220,4.800000000000001
2019,1,2,12,30,6,217,568,524,4,-3.4000000000000004,178,10,0,183,0.28,51.03,57.32,0.12,818,0.8,221,4.800000000000001
2019,1,2,13,30,5.6000000000000005,209,521,465,4,-3.6,105,0,0,105,0.278,51.77,60.5,0.12,818,0.8,223,4.5
2019,1,2,14,30,5,142,575,370,7,-3.7,63,0,3,63,0.276,53.45,66.64,0.12,818,0.8,225,3.7
