Metric,Best Feature Combination,Mean Value,Std Dev,Criterion
Mean Absolute Error (Non-zero),Precipitable Water,97.95266511664829,31.111141220969905,min
Mean Squared Error (Non-zero),all,21781.6969388954,8606.158233459322,min
Root Mean Squared Error (Non-zero),Precipitable Water,145.05504998223,31.460217149559025,min
R² Score (Non-zero),all,0.7064664475990302,0.126822919285951,max
Mean Absolute Percentage Error (Non-zero),Wind Speed,90.69127095291725,41.61541938561949,min
Mean Squared Percentage Error (Non-zero),Wind Speed,573.6650854262627,369.7614716399991,min
Non-zero Values Percentage,Precipitable Water,48.79578754578755,0.30655437255073936,max
Mean Absolute Error (All),all,50.28578948256755,15.429813512200232,min
Mean Squared Error (All),all,10704.675204812116,4228.104272098251,min
Root Mean Squared Error (All),all,101.76780538117475,20.856323762574217,min
R² Score (All),all,0.8480274006153131,0.07763791095758607,max
Mean Absolute Percentage Error (All),Precipitable Water,inf,,min
Mean Squared Percentage Error (All),Precipitable Water,inf,,min
