Metric,Feature Combination,Jaisalmer,Jodhpur,New Delhi,Shimla,Srinagar
Mean Absolute Error (All),Precipitable Water,35.15914768892559,54.21960243143332,68.62596081217902,59.652953113947625,34.860709741303204
Mean Absolute Error (All),Pressure,33.84681523317307,53.948747868960105,69.73589307189862,61.810068280894484,34.46588194818874
Mean Absolute Error (All),Relative Humidity,35.87768044632794,56.51006905635266,69.4781338843946,61.76042816465662,35.872515960149606
Mean Absolute Error (All),Temperature,36.70110937996662,53.56727271541721,67.75917163907873,60.87937690753094,33.59776544315747
Mean Absolute Error (All),Wind Direction,38.05835838682737,54.92129261941468,68.22831705301645,60.927741646253665,36.16455809677689
Mean Absolute Error (All),Wind Speed,37.31345447295774,55.47377722148507,69.3799298531908,63.16700414553159,33.87963511484962
Mean Absolute Error (All),all,33.964248578830144,53.2004561063257,66.07117096704192,61.51594323577166,34.731157235746636
Mean Absolute Error (All),ghi_only,35.94219822122719,54.97093963026045,68.92218628954474,62.61224760076664,35.27669546474907
Mean Absolute Error (Non-zero),Precipitable Water,68.95288981206585,105.43684608504594,133.74421609276104,119.23858440780997,65.31144619213279
Mean Absolute Error (Non-zero),Pressure,67.36300448845961,105.43553881968293,134.5352236392059,123.28629133664246,68.75228647133851
Mean Absolute Error (Non-zero),Relative Humidity,69.13236875932736,108.02147467194874,135.62163340283996,122.69018445928539,69.55045749322389
Mean Absolute Error (Non-zero),Temperature,68.96801786958805,106.48826224564392,134.12010895311138,119.35082636234134,67.22741061215362
Mean Absolute Error (Non-zero),Wind Direction,73.0667718039068,107.32524081213035,134.74711322506548,122.179221931026,71.59817138500952
Mean Absolute Error (Non-zero),Wind Speed,75.13607163610088,107.49724058645351,137.08614575140663,124.1925860674184,67.65448730086831
Mean Absolute Error (Non-zero),all,68.46052887399466,105.53231707298868,131.5042845271406,119.19161476232016,67.8831179812093
Mean Absolute Error (Non-zero),ghi_only,70.0227170127937,107.06112573040284,135.04254372627724,125.78773812673658,69.78021804707535
Mean Squared Error (All),Precipitable Water,6100.426762548649,11194.550721837822,16422.240826366266,13457.63868088345,6315.633627791525
Mean Squared Error (All),Pressure,6276.833991550429,12076.649292035367,17089.806056349546,14241.912011025497,6444.343006221001
