Location,Feature Combination,Metric,Value
Jaisalmer,ghi_only,Mean Absolute Error (Non-zero),69.01656923324475
Jaisalmer,ghi_only,Mean Squared Error (Non-zero),13305.9097219832
Jaisalmer,ghi_only,Root Mean Squared Error (Non-zero),115.35124499537575
Jaisalmer,ghi_only,R² Score (Non-zero),0.8320476442799823
Jaisalmer,ghi_only,Mean Absolute Percentage Error (Non-zero),47.483320365101605
Jaisalmer,ghi_only,Mean Squared Percentage Error (Non-zero),217.30263829473984
Jaisalmer,ghi_only,Non-zero Values Percentage,48.46611721611722
Jaisalmer,ghi_only,Mean Absolute Error (All),34.25203410783252
Jaisalmer,ghi_only,Mean Squared Error (All),6452.81781547024
Jaisalmer,ghi_only,Root Mean Squared Error (All),80.32943305831456
Jaisalmer,ghi_only,R² Score (All),0.9271463675162644
Jaisalmer,ghi_only,Mean Absolute Percentage Error (All),802382764728.4429
Jaisalmer,ghi_only,Mean Squared Percentage Error (All),3.9600129431243745e+22
Jaisalmer,Temperature,Mean Absolute Error (Non-zero),68.79271096588026
Jaisalmer,Temperature,Mean Squared Error (Non-zero),12750.642343070962
Jaisalmer,Temperature,Root Mean Squared Error (Non-zero),112.918742213465
Jaisalmer,Temperature,R² Score (Non-zero),0.839056444601896
Jaisalmer,Temperature,Mean Absolute Percentage Error (Non-zero),51.96955913074326
Jaisalmer,Temperature,Mean Squared Percentage Error (Non-zero),294.03199503315096
Jaisalmer,Temperature,Non-zero Values Percentage,48.46611721611722
Jaisalmer,Temperature,Mean Absolute Error (All),33.77728250214258
Jaisalmer,Temperature,Mean Squared Error (All),6195.910256391086
Jaisalmer,Temperature,Root Mean Squared Error (All),78.7141045581482
Jaisalmer,Temperature,R² Score (All),0.9300469063857447
Jaisalmer,Temperature,Mean Absolute Percentage Error (All),436126569299.52124
Jaisalmer,Temperature,Mean Squared Percentage Error (All),1.616899259043907e+23
Jaisalmer,Relative Humidity,Mean Absolute Error (Non-zero),75.77998780269469
Jaisalmer,Relative Humidity,Mean Squared Error (Non-zero),13619.582048161805
Jaisalmer,Relative Humidity,Root Mean Squared Error (Non-zero),116.70296503586276
