Location,Metric,Feature Combination,Individual,Joint,GNN,Complete
Jaisalmer,Non-zero Values Percentage,ghi_only,True,False,True,False
Jaisalmer,Non-zero Values Percentage,Wind Speed,True,False,True,False
Jaisalmer,Non-zero Values Percentage,meteorological_only,True,False,True,False
Jaisalmer,Non-zero Values Percentage,all,True,False,True,False
Jaisalmer,Non-zero Values Percentage,Wind Direction,True,False,True,False
Jaisalmer,Non-zero Values Percentage,Relative Humidity,True,False,True,False
Jaisalmer,Non-zero Values Percentage,Temperature,True,False,True,False
Jaisalmer,Non-zero Values Percentage,Precipitable Water,True,False,True,False
Jaisalmer,Non-zero Values Percentage,Pressure,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),ghi_only,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),Wind Speed,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),meteorological_only,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),all,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),Wind Direction,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),Relative Humidity,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),Temperature,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),Precipitable Water,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (Non-zero),Pressure,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),ghi_only,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),Wind Speed,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),meteorological_only,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),all,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),Wind Direction,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),Relative Humidity,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),Temperature,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),Precipitable Water,True,False,True,False
Jaisalmer,Mean Squared Percentage Error (All),Pressure,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),ghi_only,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),Wind Speed,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),meteorological_only,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),all,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),Wind Direction,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),Relative Humidity,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),Temperature,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),Precipitable Water,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (Non-zero),Pressure,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (All),ghi_only,True,False,True,False
Jaisalmer,Mean Absolute Percentage Error (All),Wind Speed,True,False,True,False
