Location,Feature Combination,Metric,Individual Value,Joint Value,GNN Value,Better Approach
New Delhi,ghi_only,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,Wind Speed,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,meteorological_only,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,all,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,Wind Direction,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,Relative Humidity,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,Temperature,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,Precipitable Water,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,Pressure,Non-zero Values Percentage,49.10714285714285,49.06648451730419,9.69847398418827,individual
New Delhi,ghi_only,Mean Squared Percentage Error (Non-zero),1282.7515959162108,1667.6264951334747,923.3252467223078,gnn
New Delhi,Wind Speed,Mean Squared Percentage Error (Non-zero),1065.0467346866988,1211.3637074336752,923.3252467223078,gnn
New Delhi,meteorological_only,Mean Squared Percentage Error (Non-zero),2592.3059464044263,1909.4692617417743,923.3252467223078,gnn
New Delhi,all,Mean Squared Percentage Error (Non-zero),1733.8266319194404,1728.002385632367,923.3252467223078,gnn
New Delhi,Wind Direction,Mean Squared Percentage Error (Non-zero),1307.6433323135589,1927.6301225348464,923.3252467223078,gnn
New Delhi,Relative Humidity,Mean Squared Percentage Error (Non-zero),1258.311730589955,1547.2208065966402,923.3252467223078,gnn
New Delhi,Temperature,Mean Squared Percentage Error (Non-zero),2063.034209519044,1727.215422575069,923.3252467223078,gnn
New Delhi,Precipitable Water,Mean Squared Percentage Error (Non-zero),2529.5768776161194,2131.71210996864,923.3252467223078,gnn
New Delhi,Pressure,Mean Squared Percentage Error (Non-zero),2129.3162974959723,1533.4613044834307,923.3252467223078,gnn
New Delhi,ghi_only,Mean Squared Percentage Error (All),5.114334889298309e+23,4.270311191624575e+23,7.556254737772706e+22,gnn
New Delhi,Wind Speed,Mean Squared Percentage Error (All),1.3200974518181403e+24,2.035248048868022e+23,7.556254737772706e+22,gnn
New Delhi,meteorological_only,Mean Squared Percentage Error (All),4.957612433537299e+24,3.322741317285789e+24,7.556254737772706e+22,gnn
New Delhi,all,Mean Squared Percentage Error (All),3.843277321471149e+23,2.23921680450232e+23,7.556254737772706e+22,gnn
New Delhi,Wind Direction,Mean Squared Percentage Error (All),7.83439638852479e+23,6.874822295145649e+23,7.556254737772706e+22,gnn
New Delhi,Relative Humidity,Mean Squared Percentage Error (All),7.075025830100189e+23,3.1494488546220654e+23,7.556254737772706e+22,gnn
New Delhi,Temperature,Mean Squared Percentage Error (All),5.580986820527212e+23,2.5486393762658856e+23,7.556254737772706e+22,gnn
New Delhi,Precipitable Water,Mean Squared Percentage Error (All),1.1217716180062588e+24,7.673011608663816e+23,7.556254737772706e+22,gnn
New Delhi,Pressure,Mean Squared Percentage Error (All),1.5343888866253596e+24,2.7018827280414057e+23,7.556254737772706e+22,gnn
New Delhi,ghi_only,Mean Absolute Percentage Error (Non-zero),144.81195901812828,164.08463254570788,139.07173921901529,gnn
New Delhi,Wind Speed,Mean Absolute Percentage Error (Non-zero),142.083663789444,145.53538601354444,139.07173921901529,gnn
New Delhi,meteorological_only,Mean Absolute Percentage Error (Non-zero),182.17821177515376,177.64900394570887,139.07173921901529,gnn
New Delhi,all,Mean Absolute Percentage Error (Non-zero),157.32820598141265,156.73293753314258,139.07173921901529,gnn
New Delhi,Wind Direction,Mean Absolute Percentage Error (Non-zero),152.0803479574078,174.22271144631034,139.07173921901529,gnn
New Delhi,Relative Humidity,Mean Absolute Percentage Error (Non-zero),145.45450965865106,156.9076535130083,139.07173921901529,gnn
New Delhi,Temperature,Mean Absolute Percentage Error (Non-zero),166.52185016794695,163.78196152000086,139.07173921901529,gnn
