Metric,Feature Combination,Individual,Joint,GNN,Equal,Total,Comparisons Made,Individual %,Joint %,GNN %,Equal %
Mean Absolute Error (All),Precipitable Water,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),Pressure,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),Relative Humidity,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),Temperature,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),Wind Direction,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),Wind Speed,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),all,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),ghi_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (All),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Error (Non-zero),Precipitable Water,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Mean Absolute Error (Non-zero),Pressure,2,0,1,0,5,3,66.7,0.0,33.3,0.0
Mean Absolute Error (Non-zero),Relative Humidity,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Mean Absolute Error (Non-zero),Temperature,2,0,1,0,5,3,66.7,0.0,33.3,0.0
Mean Absolute Error (Non-zero),Wind Direction,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Mean Absolute Error (Non-zero),Wind Speed,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Mean Absolute Error (Non-zero),all,2,0,1,0,5,3,66.7,0.0,33.3,0.0
Mean Absolute Error (Non-zero),ghi_only,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Mean Absolute Error (Non-zero),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Percentage Error (All),Precipitable Water,1,0,2,0,5,3,33.3,0.0,66.7,0.0
Mean Absolute Percentage Error (All),Pressure,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Mean Absolute Percentage Error (All),Relative Humidity,0,3,0,0,5,3,0.0,100.0,0.0,0.0
Mean Absolute Percentage Error (All),Temperature,0,3,0,0,5,3,0.0,100.0,0.0,0.0
Mean Absolute Percentage Error (All),Wind Direction,2,0,1,0,5,3,66.7,0.0,33.3,0.0
Mean Absolute Percentage Error (All),Wind Speed,0,3,0,0,5,3,0.0,100.0,0.0,0.0
Mean Absolute Percentage Error (All),all,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Mean Absolute Percentage Error (All),ghi_only,2,1,0,0,5,3,66.7,33.3,0.0,0.0
Mean Absolute Percentage Error (All),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Percentage Error (Non-zero),Precipitable Water,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Percentage Error (Non-zero),Pressure,1,0,2,0,5,3,33.3,0.0,66.7,0.0
Mean Absolute Percentage Error (Non-zero),Relative Humidity,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Percentage Error (Non-zero),Temperature,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Percentage Error (Non-zero),Wind Direction,1,0,2,0,5,3,33.3,0.0,66.7,0.0
Mean Absolute Percentage Error (Non-zero),Wind Speed,1,0,2,0,5,3,33.3,0.0,66.7,0.0
Mean Absolute Percentage Error (Non-zero),all,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Mean Absolute Percentage Error (Non-zero),ghi_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Absolute Percentage Error (Non-zero),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),Precipitable Water,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),Pressure,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),Relative Humidity,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),Temperature,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),Wind Direction,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),Wind Speed,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),all,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),ghi_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (All),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Error (Non-zero),Precipitable Water,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Mean Squared Error (Non-zero),Pressure,0,1,2,0,5,3,0.0,33.3,66.7,0.0
