date,correlation,mae,rmse,r2,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2020-01-01,0.9297093991367446,35209.37,63496.094,0.004793414175540134,24,193005.65625,42232.7265625,65017.7734375,33590.49609375,7732.462890625,11543.2919921875
2020-01-02,0.9293956573277874,56086.47,95549.93,0.06385150839425746,24,287395.625,71686.203125,100878.75,62360.78515625,18059.47265625,22065.341796875
2020-01-03,0.9112991059613132,49177.766,83127.04,0.05856248305807943,24,258579.28125,64284.33203125,87516.171875,56346.765625,17369.044921875,19625.80859375
2020-01-04,0.9204321685213479,76610.266,117760.42,0.0,24,292305.65625,92165.875,111720.2578125,55540.34375,17174.228515625,21008.078125
2020-01-05,0.9081862681691494,61346.52,101950.89,0.01743714771108895,24,278858.84375,78288.78125,105063.671875,65706.40625,19817.828125,22311.2890625
2020-01-06,0.9565314695711304,60168.734,103713.39,0.0,24,289841.90625,71347.21875,101752.625,47237.515625,12644.8974609375,15184.560546875
2020-01-07,0.9218364433617817,28123.506,54657.598,0.1531755613638276,24,229966.328125,37161.046875,60673.015625,42539.71484375,10086.0966796875,13510.8427734375
2020-01-08,0.951245560946367,62131.52,101624.65,0.0,24,279476.6875,73606.828125,98440.75,45500.203125,13208.8173828125,15871.2578125
2020-01-09,0.8690531540719384,33936.293,61984.875,0.1323931024167183,24,202935.90625,41301.01953125,67977.6171875,39590.4453125,12047.3291015625,14520.3076171875
2020-01-10,0.9555450100322883,60881.176,99803.1,0.0,24,284807.375,74263.6328125,96466.71875,46158.81640625,13553.07421875,16423.96875
2020-01-11,0.889288633039319,44408.535,84049.375,0.14837826411477184,24,272844.59375,61933.37890625,93036.390625,70315.4140625,17628.169921875,23468.552734375
2020-01-12,0.9017572630251686,65254.824,104595.84,0.0,24,286296.34375,78837.59375,99644.453125,44690.50390625,14503.7392578125,17452.880859375
2020-01-13,0.9196452155181466,65081.434,106746.39,0.0,24,262249.15625,78421.1015625,103584.5859375,46856.2578125,14480.3857421875,18002.083984375
2020-01-14,0.86046275039116,64217.45,104041.66,0.0,24,297373.21875,80806.3671875,102527.0234375,70492.4296875,17291.501953125,22214.130859375
2020-01-15,0.8307985468967063,57937.074,95883.28,0.0,24,260534.71875,69652.3515625,96404.9609375,52028.65625,15852.3779296875,19314.564453125
2020-01-16,0.8877505960923301,72957.74,113567.87,0.0,24,297218.53125,89498.3984375,109118.015625,61147.05078125,18214.537109375,21815.701171875
2020-01-17,0.923075450664298,65910.79,106865.64,0.0,24,276563.40625,77379.2578125,102119.5546875,45770.421875,13443.4306640625,16106.6015625
2020-01-18,0.9280234113292252,64852.098,102064.87,0.0,24,272316.34375,81545.0078125,104104.8203125,63690.3515625,20084.583984375,22960.150390625
2020-01-19,0.9546146230342858,37689.99,72392.9,0.014564718713271363,24,261338.234375,46346.578125,74494.3984375,40877.1171875,8890.6748046875,11848.330078125
2020-01-20,0.8987742471329144,76260.5,117355.47,0.0,24,282919.21875,91002.0078125,111540.3125,59917.34765625,17266.267578125,20836.173828125
2020-01-21,0.9234982781442624,55632.73,93146.42,0.052081093303757875,24,258587.984375,71751.625,97728.734375,59513.38671875,18400.908203125,21856.353515625
2020-01-22,0.9386080288634714,70577.414,111477.29,0.0,24,289269.5,92437.75,111645.953125,69340.109375,22201.759765625,25190.1484375
2020-01-23,0.914444691362736,58717.105,92898.5,0.03702115325420097,24,255745.71875,79095.1484375,96703.4609375,70076.421875,20378.044921875,26171.994140625
2020-01-24,0.9119661999491506,43064.23,71005.95,0.0,24,188617.015625,52059.21875,71011.7734375,36164.0078125,11465.484375,12868.248046875
2020-01-25,0.9546530955051378,63623.2,100318.625,0.0,24,277775.125,79175.1015625,100760.6796875,55636.1484375,18084.322265625,20645.966796875
2020-01-26,0.7928681018743797,37507.25,70890.59,0.0,24,207353.53125,43323.37109375,70726.3671875,33631.35546875,7860.80615234375,10534.634765625
2020-01-27,0.9252330591066932,65875.62,104875.305,0.0,24,293663.21875,82625.125,105432.4296875,67404.84375,19342.060546875,22063.83984375
2020-01-28,0.9020650584771713,66641.01,106920.71,0.0,24,302055.03125,85739.453125,108724.421875,68247.4609375,21701.48828125,24266.451171875
2020-01-29,0.7873485270155383,26957.047,47845.277,0.005421589892648071,24,143456.15625,31552.771484375,49007.35546875,30185.55078125,7347.39501953125,9183.9326171875
2020-01-30,0.9130729869128116,48701.207,86850.5,0.09297251760667591,24,278783.03125,66928.7109375,93154.4921875,62550.46875,18227.515625,22184.396484375
2020-01-31,0.6843720739266002,57334.637,98324.68,0.0,24,279080.5,66761.765625,94074.9609375,49970.24609375,12689.0546875,16090.69140625
2020-02-01,0.9210977410503558,51306.387,87078.7,0.08079024771022414,24,242109.296875,66243.078125,92778.2890625,54891.63671875,17828.095703125,20946.658203125
2020-02-02,0.9097777649315983,36357.37,66198.95,0.19888387287312492,24,229719.6875,51698.08203125,75551.8515625,58744.79296875,16439.248046875,20859.802734375
2020-02-03,0.9252230502865081,52434.36,91399.375,0.0,24,264669.21875,63637.46484375,91492.78125,47077.71484375,12186.0771484375,15733.791015625
2020-02-04,0.8404139621660046,57196.312,94293.5,0.0,24,254025.1875,74023.53125,94476.0390625,68185.5078125,17339.873046875,21922.16796875
2020-02-05,0.8925335104407336,58482.73,95010.72,0.0,24,253317.203125,72309.3046875,92087.4375,45560.94921875,13969.4580078125,17822.779296875
2020-02-06,0.812531943068222,68963.734,108596.516,0.0,24,277307.53125,82228.859375,102382.96875,51836.3515625,15687.7978515625,18971.53515625
2020-02-07,0.8604762970827686,67747.23,112122.98,0.0,24,303135.875,81990.2265625,112985.0234375,65449.37890625,18680.318359375,22240.712890625
2020-02-08,0.7925155309418043,36107.23,70007.64,0.008445273229997774,24,248538.578125,41945.37109375,71817.25,39029.87890625,8998.716796875,11493.5078125
2020-02-09,0.9195229757960222,66880.69,109082.19,0.0,24,295186.84375,86786.875,110819.140625,68389.859375,21493.017578125,23987.318359375
2020-02-10,0.8705934441685574,66437.06,108524.945,0.0,24,283733.34375,82979.9765625,109064.40625,62284.53125,20080.791015625,22273.27734375
2020-02-11,0.9789787572242931,20322.547,48352.117,0.1710691625627696,24,183127.046875,24646.2265625,54249.7890625,29478.39453125,4602.54052734375,9544.18359375
2020-02-12,0.9142214796882614,37181.51,72731.805,0.02909428912796619,24,243810.78125,45649.41015625,75401.0859375,39071.71875,9741.1787109375,12004.1611328125
2020-02-13,0.8926398627230439,50293.0,85171.484,0.10891701308480373,24,239901.171875,64622.078125,92167.2890625,61477.734375,19153.888671875,21557.75
2020-02-14,0.9281902986454844,61366.855,99837.93,0.05290274505484904,24,277049.5625,80173.4453125,104794.8515625,65198.36328125,20232.736328125,25636.533203125
