date,correlation,mae,rmse,r2,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2020-01-01,0,478824.84,568615.06,0,13,1037124.0,478824.84375,319198.0,0.0,0.0,0.0
2020-01-02,0,598340.56,698474.0,0,13,1089152.0,598340.5625,375067.6875,0.0,0.0,0.0
2020-01-03,0,511692.94,626570.8,0,14,1016120.0,511692.9375,375259.84375,0.0,0.0,0.0
2020-01-04,0,471815.25,574104.2,0,12,900150.0,471815.25,341631.375,0.0,0.0,0.0
2020-01-05,0,414146.28,506321.34,0,11,838444.0,414146.28125,305497.25,0.0,0.0,0.0
2020-01-06,0,430612.1,476800.75,0,10,723776.0,430612.09375,215798.75,0.0,0.0,0.0
2020-01-07,0,172209.36,314442.12,0,11,743400.0,172209.359375,275933.96875,0.0,0.0,0.0
2020-01-08,0,312874.2,412419.12,0,11,791073.0,312874.1875,281814.125,0.0,0.0,0.0
2020-01-09,0,513203.4,615355.9,0,12,1028856.0,513203.40625,354634.4375,0.0,0.0,0.0
2020-01-10,0,371668.66,481158.0,0,14,942161.0,371668.65625,317109.09375,0.0,0.0,0.0
2020-01-11,0,599517.06,679460.94,0,12,983024.0,599517.0625,333978.28125,0.0,0.0,0.0
2020-01-12,0,348176.0,458822.16,0,11,870840.0,348176.0,313401.25,0.0,0.0,0.0
2020-01-13,0,556625.0,653684.44,0,14,1035028.0,556625.0,355680.0,0.0,0.0,0.0
2020-01-14,0,498159.2,598812.5,0,11,910656.0,498159.1875,348504.25,0.0,0.0,0.0
2020-01-15,0,462411.94,568849.0,0,14,1038678.0,462411.9375,343813.625,0.0,0.0,0.0
2020-01-16,0,558418.5,658683.9,0,14,1018872.0,558418.5,362519.4375,0.0,0.0,0.0
2020-01-17,0,491367.94,599268.7,0,13,992036.0,491367.9375,357053.53125,0.0,0.0,0.0
2020-01-18,0,575067.2,656654.1,0,12,1028588.0,575067.1875,331101.28125,0.0,0.0,0.0
2020-01-19,0,417171.5,541507.2,0,14,975688.0,417171.5,358283.40625,0.0,0.0,0.0
2020-01-20,0,473861.0,588768.3,0,12,992456.0,473861.0,364971.59375,0.0,0.0,0.0
2020-01-21,0,497368.28,617560.5,0,14,1078845.0,497368.28125,379886.625,0.0,0.0,0.0
2020-01-22,0,526905.8,625196.7,0,12,974280.0,526905.8125,351476.53125,0.0,0.0,0.0
2020-01-23,0,410821.25,500739.2,0,12,990584.0,410821.25,299026.8125,0.0,0.0,0.0
2020-01-24,0,236439.9,321962.28,0,11,640386.0,236439.90625,229197.453125,0.0,0.0,0.0
2020-01-25,0,342021.62,443335.1,0,11,756832.0,342021.625,295844.375,0.0,0.0,0.0
2020-01-26,0,479483.16,602480.3,0,14,1107376.0,479483.15625,378569.9375,0.0,0.0,0.0
2020-01-27,0,610644.5,707884.0,0,14,1025700.0,610644.5,371585.25,0.0,0.0,0.0
2020-01-28,0,541304.44,644664.25,0,14,1052704.0,541304.4375,363333.0625,0.0,0.0,0.0
2020-01-29,0,358469.1,452008.72,0,11,766480.0,358469.09375,288778.375,0.0,0.0,0.0
2020-01-30,0,553253.5,659361.7,0,14,1012894.0,553253.5,372244.5,0.0,0.0,0.0
2020-01-31,0,261595.9,332069.66,0,10,577728.0,261595.90625,215607.265625,0.0,0.0,0.0
2020-02-01,0,418269.6,469041.44,0,10,729525.0,418269.59375,223732.078125,0.0,0.0,0.0
2020-02-02,0,572435.44,671848.3,0,14,1064540.0,572435.4375,364983.625,0.0,0.0,0.0
2020-02-03,0,552205.5,637684.75,0,12,952831.0,552205.5,333102.75,0.0,0.0,0.0
2020-02-04,0,571795.5,654424.06,0,14,1039840.0,571795.5,330325.0,0.0,0.0,0.0
2020-02-05,0,499906.7,649050.56,0,13,1075080.0,499906.6875,430859.59375,0.0,0.0,0.0
2020-02-06,0,555326.7,641658.0,0,12,1008787.0,555326.6875,335755.21875,0.0,0.0,0.0
2020-02-07,0,409305.5,488121.97,0,14,820636.0,409305.5,275994.46875,0.0,0.0,0.0
2020-02-08,0,400486.56,501493.53,0,14,1002528.0,400486.5625,313232.3125,0.0,0.0,0.0
2020-02-09,0,404170.78,542802.3,0,14,1022900.0,404170.78125,376003.6875,0.0,0.0,0.0
2020-02-10,0,413197.66,520734.6,0,14,1026454.0,413197.65625,328873.4375,0.0,0.0,0.0
2020-02-11,0,307990.8,383886.78,0,11,703153.0,307990.8125,240336.828125,0.0,0.0,0.0
2020-02-12,0,543644.56,623048.25,0,11,929424.0,543644.5625,319223.6875,0.0,0.0,0.0
2020-02-13,0,378295.06,483302.4,0,14,831765.0,378295.0625,312143.53125,0.0,0.0,0.0
2020-02-14,0,422052.06,503866.3,0,14,985401.0,422052.0625,285622.96875,0.0,0.0,0.0
2020-02-15,0,556701.6,660016.5,0,13,1088080.0,556701.625,369026.40625,0.0,0.0,0.0
2020-02-16,0,517139.94,620826.7,0,14,1010972.0,517139.9375,356466.5,0.0,0.0,0.0
2020-02-17,0,639632.7,709580.2,0,12,1011750.0,639632.6875,320863.90625,0.0,0.0,0.0
2020-02-18,0,564425.8,661117.5,0,12,998580.0,564425.8125,359544.90625,0.0,0.0,0.0
2020-02-19,0,549804.6,633952.9,0,13,894600.0,549804.625,328499.75,0.0,0.0,0.0
2020-02-20,0,253099.8,338864.16,0,10,640200.0,253099.796875,237508.890625,0.0,0.0,0.0
2020-02-21,0,294986.78,378377.16,0,14,745128.0,294986.78125,245909.421875,0.0,0.0,0.0
2020-02-22,0,651179.5,730294.75,0,12,1036350.0,651179.5,345299.28125,0.0,0.0,0.0
2020-02-23,0,367976.72,446744.28,0,11,874365.0,367976.71875,265689.5625,0.0,0.0,0.0
2020-02-24,0,619296.2,689849.5,0,12,1041656.0,619296.1875,317429.3125,0.0,0.0,0.0
2020-02-25,0,633099.8,710169.7,0,12,992036.0,633099.8125,336060.9375,0.0,0.0,0.0
2020-02-26,0,458068.28,559065.0,0,14,938629.0,458068.28125,332609.6875,0.0,0.0,0.0
2020-02-27,0,323835.9,421433.75,0,10,819864.0,323835.90625,284286.0625,0.0,0.0,0.0
2020-02-28,0,501704.3,555856.0,0,10,795809.0,501704.3125,252253.578125,0.0,0.0,0.0
2020-02-29,0,508463.7,597974.3,0,13,1085323.0,508463.6875,327553.15625,0.0,0.0,0.0
2020-03-01,0,491790.3,608367.4,0,13,1033326.0,491790.3125,372747.84375,0.0,0.0,0.0
2020-03-02,0,269447.5,319918.16,0,10,528496.0,269447.5,181798.640625,0.0,0.0,0.0
2020-03-03,0,376304.72,499588.8,0,14,961584.0,376304.71875,341013.4375,0.0,0.0,0.0
2020-03-04,0,459522.38,552567.9,0,13,980500.0,459522.375,319402.53125,0.0,0.0,0.0
2020-03-05,0,576232.0,649389.3,0,12,1040550.0,576232.0,312752.90625,0.0,0.0,0.0
2020-03-06,0,369795.9,490171.47,0,11,904824.0,369795.90625,337447.71875,0.0,0.0,0.0
2020-03-07,0,466762.53,549769.2,0,11,865530.0,466762.53125,304658.40625,0.0,0.0,0.0
2020-03-08,0,299655.8,410422.2,0,11,717880.0,299655.8125,294139.46875,0.0,0.0,0.0
2020-03-09,0,297500.8,399368.28,0,11,812144.0,297500.8125,279440.6875,0.0,0.0,0.0
2020-03-10,0,490971.56,605875.56,0,14,1082508.0,490971.5625,368411.3125,0.0,0.0,0.0
2020-03-11,0,587950.0,684657.1,0,13,1081648.0,587950.0,365138.3125,0.0,0.0,0.0
2020-03-12,0,436401.16,545386.75,0,13,966867.0,436401.15625,340466.625,0.0,0.0,0.0
2020-03-13,0,363361.6,501351.88,0,12,881920.0,363361.59375,360790.1875,0.0,0.0,0.0
2020-03-14,0,565456.4,626950.44,0,11,877368.0,565456.375,284004.5,0.0,0.0,0.0
2020-03-15,0,372161.8,462923.16,0,11,829500.0,372161.8125,288743.375,0.0,0.0,0.0
2020-03-16,0,477703.0,592539.75,0,14,971730.0,477703.0,363809.46875,0.0,0.0,0.0
2020-03-17,0,665465.3,746195.06,0,12,1058610.0,665465.3125,352595.0,0.0,0.0,0.0
2020-03-18,0,434524.9,516594.44,0,11,869534.0,434524.90625,293025.15625,0.0,0.0,0.0
2020-03-19,0,295982.53,412047.06,0,13,1014420.0,295982.53125,298370.90625,0.0,0.0,0.0
2020-03-20,0,289510.38,395206.22,0,11,834394.0,289510.375,282150.40625,0.0,0.0,0.0
2020-03-21,0,493449.9,603286.6,0,12,945687.0,493449.90625,362509.34375,0.0,0.0,0.0
2020-03-22,0,350859.0,431358.56,0,10,726408.0,350859.0,264508.28125,0.0,0.0,0.0
2020-03-23,0,551820.2,651704.5,0,12,967904.0,551820.1875,362134.96875,0.0,0.0,0.0
2020-03-24,0,522935.56,648242.6,0,14,1062520.0,522935.5625,397549.84375,0.0,0.0,0.0
2020-03-25,0,524123.4,601719.7,0,12,926208.0,524123.40625,308712.09375,0.0,0.0,0.0
2020-03-26,0,411426.44,520571.44,0,14,1002750.0,411426.4375,330979.96875,0.0,0.0,0.0
2020-03-27,0,277938.0,367461.25,0,11,752544.0,277938.0,252103.25,0.0,0.0,0.0
2020-03-28,0,659955.56,729387.0,0,12,1087273.0,659955.5625,324397.0,0.0,0.0,0.0
2020-03-29,0,327272.8,404707.72,0,10,638724.0,327272.8125,250955.65625,0.0,0.0,0.0
2020-03-30,0,381369.4,446440.78,0,10,664650.0,381369.40625,244646.59375,0.0,0.0,0.0
2020-03-31,0,610543.06,689251.94,0,12,1044504.0,610543.0625,334074.6875,0.0,0.0,0.0
2020-04-01,0,526224.25,614899.2,0,12,897347.0,526224.25,332247.0625,0.0,0.0,0.0
2020-04-02,0,365478.1,460060.22,0,11,802420.0,365478.09375,293068.78125,0.0,0.0,0.0
2020-04-03,0,191317.9,293945.3,0,10,641448.0,191317.90625,235233.453125,0.0,0.0,0.0
2020-04-04,0,501591.1,579199.0,0,11,912450.0,501591.09375,303752.5625,0.0,0.0,0.0
2020-04-05,0,653010.94,712656.2,0,12,1034299.0,653010.9375,298094.90625,0.0,0.0,0.0
2020-04-06,0,488562.56,603969.7,0,14,1046220.0,488562.5625,368490.0625,0.0,0.0,0.0
2020-04-07,0,332474.38,460598.7,0,13,880950.0,332474.375,331782.46875,0.0,0.0,0.0
2020-04-08,0,595084.75,678452.75,0,12,972345.0,595084.75,340329.6875,0.0,0.0,0.0
2020-04-09,0,488555.34,604073.7,0,14,1058064.0,488555.34375,368683.875,0.0,0.0,0.0
