date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2017-01-03,0.9195945051339193,85871.18515625,101886.32742821844,0.7378555992401299,313.91129135923455,65333.63828125,10,599532.0,297533.7,209760.81433758466,607556.25,362867.3,193468.02
2017-01-04,0.6834236006300606,158731.3609375,226441.6252152787,0.0,244.23369149611966,158731.3609375,10,564453.0,244064.8,195739.07006965508,681559.06,402796.16,226289.25
2017-01-05,0.7927447376196094,113160.63984375,156801.6877393307,0.0,85.80609889170671,113073.00234375,10,462405.0,242895.5,156165.95994877443,585391.75,355968.53,187447.89
2017-01-06,0.9311073782679675,107790.6703125,134041.98197644955,0.6221671722862625,355.9161117228274,107790.6703125,10,634611.0,307738.5,229863.3553044794,680941.25,415529.16,218967.0
2017-01-07,0.9719300017803164,323588.08828125,369432.3337810306,0.0,1408.9428509278146,323588.08828125,10,41457.0,22854.5,13532.100873683863,604387.5,346442.6,201011.17
2017-01-08,0.28915558475702663,175154.261328125,194949.27100318825,0.0,193.311334723081,87094.977734375,10,448586.0,182942.3,144078.617233054,509602.1,270037.3,163220.39
2017-01-09,0.7318537063386293,133550.061328125,182524.14787022234,0.0,37.981892511159764,-126054.114453125,10,610162.0,297214.8,190943.39179616095,286926.9,171160.67,90445.5
2017-01-10,0.051424957758871355,255658.178515625,306913.25853663456,0.0,538.8803844172119,232790.978515625,10,282758.0,82488.8,83050.47258652082,579001.25,315279.78,198100.36
2017-01-11,0.9787542865289646,101116.933203125,112634.55758074786,0.7377396272923569,27.510369638576847,-101116.933203125,10,690950.0,428282.7,231837.7032739594,602903.94,327165.78,205098.02
2017-01-12,0.9658326520035347,97505.868359375,114685.48445304383,0.738121576895145,25.0791487669966,-97505.868359375,10,709021.0,439656.8,236231.24573876522,617862.6,342150.94,210778.17
2017-01-13,0.980256413186073,96683.901171875,109306.61033140736,0.7713316010441598,23.58362936626192,-96683.901171875,10,727092.0,455495.5,240947.3180138255,627788.8,358811.6,211305.55
2017-01-14,0.9246343832238221,94088.888671875,113127.66099071711,0.6998535732895879,56.71886861789789,79151.863671875,10,630359.0,290624.2,217661.17255026344,649457.7,369776.06,220922.16
2017-01-15,0.8897627927870398,203298.748046875,223924.93128008622,0.0,449.0153950666299,203298.748046875,10,514492.0,175182.4,190909.59146569876,646098.44,378481.12,216752.38
2017-01-16,0.4009291936546561,200986.760546875,226361.97930261015,0.0,401.6931281586695,56403.636328125,10,643115.0,259478.3,228564.74842326166,571425.1,315881.94,189382.47
2017-01-17,0.8615679843859866,73506.275,96212.12129898084,0.22236347618796082,49.02711580182045,65518.240625,10,374176.0,187938.4,115005.92365729109,457670.66,253456.66,144990.34
2017-01-18,0.9508709292490023,73541.071484375,89359.10930678567,0.8589043859218449,20.186702795501745,-37180.789453125,10,698391.0,358868.8,250761.4771959822,592144.75,321688.0,202255.62
2017-01-19,0.9546720510749173,74015.86875,94721.22613707036,0.810551640993195,18.657349395150703,-69092.34375,10,702643.0,442101.7,229393.24903223867,650324.94,373009.38,217404.08
