date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2017-01-03,0.8289681514761638,292824.01484375,317985.8247978154,0.0,1255.1766927301235,292824.01484375,10,297640.0,95563.7,116752.10745854274,657003.06,388387.75,209977.42
2017-01-04,0.19036566127625995,227526.1140625,268893.1496613621,0.0,906.9690412029157,227526.1140625,10,140316.0,42520.0,39204.70563876513,483449.8,270046.1,153531.0
2017-01-05,0.525437944848615,156685.336328125,188361.73932663247,0.0,636.4477682570271,156497.336328125,10,348664.0,63673.7,102453.75392943555,397651.66,220171.05,121736.91
2017-01-06,0.987742788805232,192053.907421875,218614.7407790706,0.0,988.556406995522,192053.907421875,10,34016.0,19452.9,10759.721262911766,383833.3,211506.83,120704.39
2017-01-07,0.9658410743510237,163795.209375,185999.75044824486,0.0,643.6348477502079,163795.209375,10,52087.0,28701.0,18295.407298615195,355109.7,192496.22,110447.41
2017-01-08,0.3177969811379684,116155.1453125,127345.57868921229,0.0,316.87311149285824,89269.8453125,10,223230.0,85784.1,67129.19578850256,305202.56,175053.94,92838.7
2017-01-09,0.8677416758712437,73017.569921875,85166.23706807921,0.6302302096095792,273.91291156108855,34064.848046875,10,369924.0,130642.7,147631.99576352758,288141.7,164707.53,90878.586
2017-01-10,0.8975688566644693,161002.450390625,209243.1731500327,0.27464875508724196,103.72954615356404,-126230.966796875,10,652682.0,293069.1,258973.81965856018,303761.16,166838.14,98630.49
2017-01-11,0.8117482613053604,127244.06953125,139906.0087154505,0.5026780321494804,128.77443492856605,-57497.88046875,10,565516.0,245234.1,209120.34688318698,346500.34,187736.22,113539.26
2017-01-12,0.8686850995688346,60095.392578125,78543.65087945544,0.7150533635012156,58.15032473648639,29168.285546875,10,525122.0,180178.5,155098.66588956278,393390.62,209346.78,132216.16
2017-01-13,0.6661864472679176,74713.79140625,92020.22458466653,0.0,56.88259938893007,31569.440625,10,331656.0,162107.5,95869.59642051975,341964.22,193676.94,120340.3
2017-01-14,0.8539181723004275,69961.3015625,126900.21215373435,0.5780986990982123,28.66538452074775,-41466.0484375,10,638863.0,223655.2,205937.60665081712,329409.3,182189.14,108795.96
2017-01-15,0.9296216638092071,123784.579296875,147361.78868680968,0.40049048823004696,39.3221630806336,-112833.245703125,10,578272.0,307632.2,200616.010962236,359676.38,194798.97,119290.305
2017-01-16,0.6091423537645496,98276.760546875,109410.9946742053,0.33754907824882774,84.78058462388576,6123.354296875,10,459216.0,185174.6,141697.71835863995,348050.6,191297.97,111435.12
2017-01-17,0.9869241512863607,18165.24609375,23469.923036917262,0.9327009494972216,25.832269948374208,18122.60859375,10,283821.0,159343.7,95364.32568378084,315099.75,177466.31,97410.16
2017-01-18,0.9496552023377145,79519.17265625,98570.01983975917,0.0,72.93192993967781,79519.17265625,10,233860.0,133193.9,82422.00060184847,412349.16,212713.08,133976.31
2017-01-19,0.9400308259734788,33635.19375,44937.90299255397,0.501861374304477,27.403314438117064,27287.10625,10,214726.0,143930.2,67114.51228360872,306004.4,171217.31,92963.28
2017-01-20,0.9752386276985825,267923.021484375,299709.46544939524,0.0,55.434262244783625,-267923.021484375,10,731344.0,458684.5,245324.72470143187,340120.47,190761.48,108467.08
2017-01-21,0.9668714241284277,50367.32109375,64389.64379951465,0.7863654196354718,19.831274455227284,21602.76484375,10,434767.0,276486.3,146844.9419490202,572716.94,298089.06,193778.8
2017-01-22,0.8029407532213023,95512.137890625,134164.37579318866,0.0,68.6664608904818,95512.137890625,10,245553.0,142973.5,73152.88685918918,456639.97,238485.66,147971.08
