Location,Feature Combination,Metric,Value
New Delhi,ghi_only,Mean Absolute Error (All),66.98046016575725
New Delhi,ghi_only,Mean Squared Error (All),17237.64401832774
New Delhi,ghi_only,Root Mean Squared Error (All),131.29220852102284
New Delhi,ghi_only,R² Score (All),0.7297697869258744
New Delhi,ghi_only,Mean Absolute Percentage Error (All),2163616410199.5254
New Delhi,ghi_only,Mean Squared Percentage Error (All),4.270311191624575e+23
New Delhi,ghi_only,Non-zero Values Percentage,49.06648451730419
New Delhi,ghi_only,Mean Absolute Error (Non-zero),132.1000360903773
New Delhi,ghi_only,Mean Squared Error (Non-zero),35044.167267266486
New Delhi,ghi_only,Root Mean Squared Error (Non-zero),187.2008741092479
New Delhi,ghi_only,R² Score (Non-zero),0.5098042159111739
New Delhi,ghi_only,Mean Absolute Percentage Error (Non-zero),164.08463254570788
New Delhi,ghi_only,Mean Squared Percentage Error (Non-zero),1667.6264951334747
Shimla,ghi_only,Mean Absolute Error (All),66.00248059043874
Shimla,ghi_only,Mean Squared Error (All),15480.104214563966
Shimla,ghi_only,Root Mean Squared Error (All),124.41906692530678
Shimla,ghi_only,R² Score (All),0.8002498164060606
Shimla,ghi_only,Mean Absolute Percentage Error (All),1650861544009.284
Shimla,ghi_only,Mean Squared Percentage Error (All),1.6775321469485784e+23
Shimla,ghi_only,Non-zero Values Percentage,49.90867579908676
Shimla,ghi_only,Mean Absolute Error (Non-zero),128.9387426457597
Shimla,ghi_only,Mean Squared Error (Non-zero),30983.248193848958
Shimla,ghi_only,Root Mean Squared Error (Non-zero),176.02059025537028
Shimla,ghi_only,R² Score (Non-zero),0.6529602000389971
Shimla,ghi_only,Mean Absolute Percentage Error (Non-zero),123.3873630798499
Shimla,ghi_only,Mean Squared Percentage Error (Non-zero),782.0485259624384
Srinagar,ghi_only,Mean Absolute Error (All),31.529662936838204
Srinagar,ghi_only,Mean Squared Error (All),6053.629712739753
Srinagar,ghi_only,Root Mean Squared Error (All),77.80507510914538
Srinagar,ghi_only,R² Score (All),0.9381201247685345
Srinagar,ghi_only,Mean Absolute Percentage Error (All),966869953901.989
Srinagar,ghi_only,Mean Squared Percentage Error (All),5.881927723517598e+22
Srinagar,ghi_only,Non-zero Values Percentage,49.41620879120879
Srinagar,ghi_only,Mean Absolute Error (Non-zero),61.84770894119633
Srinagar,ghi_only,Mean Squared Error (Non-zero),12238.388846398386
Srinagar,ghi_only,Root Mean Squared Error (Non-zero),110.6272518252098
Srinagar,ghi_only,R² Score (Non-zero),0.8594782511252201
Srinagar,ghi_only,Mean Absolute Percentage Error (Non-zero),49.521513735612785
Srinagar,ghi_only,Mean Squared Percentage Error (Non-zero),291.5401134786097
New Delhi,Temperature,Mean Absolute Error (All),66.15489106232631
New Delhi,Temperature,Mean Squared Error (All),16990.446242596987
New Delhi,Temperature,Root Mean Squared Error (All),130.34740596803982
New Delhi,Temperature,R² Score (All),0.7336450443297369
New Delhi,Temperature,Mean Absolute Percentage Error (All),1102441144404.6511
New Delhi,Temperature,Mean Squared Percentage Error (All),2.5486393762658856e+23
New Delhi,Temperature,Non-zero Values Percentage,49.06648451730419
New Delhi,Temperature,Mean Absolute Error (Non-zero),132.58021347557536
New Delhi,Temperature,Mean Squared Error (Non-zero),34575.45413275192
New Delhi,Temperature,Root Mean Squared Error (Non-zero),185.94476097150982
New Delhi,Temperature,R² Score (Non-zero),0.516360548117153
New Delhi,Temperature,Mean Absolute Percentage Error (Non-zero),163.78196152000086
New Delhi,Temperature,Mean Squared Percentage Error (Non-zero),1727.215422575069
Shimla,Temperature,Mean Absolute Error (All),65.36727010181576
Shimla,Temperature,Mean Squared Error (All),15094.08675809527
Shimla,Temperature,Root Mean Squared Error (All),122.85799427833449
Shimla,Temperature,R² Score (All),0.8052308589579282
Shimla,Temperature,Mean Absolute Percentage Error (All),757134874711.6405
Shimla,Temperature,Mean Squared Percentage Error (All),7.874589609074737e+22
