Location,Metric,Value
Jaisalmer,mae,479.3155787904689
Jaisalmer,mse,315617.4728356992
Jaisalmer,rmse,561.7984272278619
Jaisalmer,r2,-2.67088374820604
Jodhpur,mae,410.76184409878806
Jodhpur,mse,248480.91360329656
Jodhpur,rmse,498.4785989421176
Jodhpur,r2,-2.11154601212349
New Delhi,mae,385.90521923956015
New Delhi,mse,236895.83091905178
New Delhi,rmse,486.71945812660067
New Delhi,r2,-1.6897024581586
Shimla,mae,374.2565859995751
Shimla,mse,227451.89070137395
Shimla,rmse,476.919165793716
Shimla,r2,-1.5996755569897694
Srinagar,mae,479.3037567026807
Srinagar,mse,315601.81895081524
Srinagar,rmse,561.7844951142878
Srinagar,r2,-2.67088531958412
