Location,Config,Metric,Mean,Median,Min,Max
Jaisalmer,met_only,correlation,-0.007258184586717066,0.0,-0.5507914088000996,0.5723542736239494
Jaisalmer,met_only,mae,261.84004120532387,270.13135846455896,160.8792381286621,353.01665115356445
Jaisalmer,met_only,rmse,295.8254420785523,304.92192710177125,191.3620341811548,393.54140732147147
Jaisalmer,met_only,r2,0.0,0.0,0.0,0.0
Jodhpur,met_only,correlation,4.447976772079868e-06,0.0,-0.6911391888518472,0.49564693542523774
Jodhpur,met_only,mae,246.08107880631337,246.9915313720703,156.54166666666666,362.0325215657552
Jodhpur,met_only,rmse,279.0203389716685,281.06504229761055,190.40167471057748,394.02003763440973
Jodhpur,met_only,r2,0.0,0.0,0.0,0.0
New Delhi,met_only,correlation,0.0343064482902911,0.0,-0.6925662864539668,0.7796532861124196
New Delhi,met_only,mae,260.2184129356182,261.42868105570477,128.71436982996323,382.0628496805827
New Delhi,met_only,rmse,294.35973750878685,294.187039443863,173.34127694428992,429.8436450653242
New Delhi,met_only,r2,4.0712906753666385e-10,0.0,0.0,2.2229247087501847e-07
Shimla,met_only,correlation,0.013751912119442678,0.0,-0.8169027310563572,0.5983233198768679
Shimla,met_only,mae,263.0778477614716,261.0,149.61229705810547,384.36585362752277
Shimla,met_only,rmse,295.60987826795275,292.0342311530774,188.61772650512214,419.8689885297206
Shimla,met_only,r2,0.0018281535648994515,0.0,0.0,1.0
Srinagar,met_only,correlation,-0.00721524040496652,0.0,-0.5105781681846848,0.7356458795701551
Srinagar,met_only,mae,261.86241728700253,269.7275505065918,170.84603627522787,354.14193598429364
Srinagar,met_only,rmse,295.7899052779285,304.44258241088517,196.45170845122612,396.4949387935482
Srinagar,met_only,r2,5.525946722840092e-10,0.0,0.0,2.9840112303336497e-07
