date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.8511078494717864,515290.8260216346,627796.8606681986,0,176014.35494644003,515290.8260216346,13,917.9999999999999,429.2307692307692,356.5405899861786,971879.6,515720.03,373561.06
2019-07-22,0.8906414790097791,566627.7406850961,669495.5643303863,0,149728.83297318174,566627.7406850961,13,948.0,499.6923076923077,347.07669292136393,1011673.9,567127.44,371461.0
2019-07-23,0.9749984275270894,545834.5486778846,636133.2932867395,0,176613.57366726064,545834.5486778846,13,907.0,493.9230769230769,338.34190339025935,982522.44,546328.5,340365.75
2019-07-24,0.9957913212752424,588910.3798076923,678847.3098422352,0,99582.95616896215,588910.3798076923,13,940.0,556.8461538461538,316.9329177585919,985423.5,589467.25,351769.38
2019-07-25,0.932404267209822,489278.51878004806,545842.5667663708,0,130130.67352623036,489278.51878004806,13,747.0,432.53846153846155,251.8774885351393,732305.4,489711.03,252087.69
2019-07-26,0.9637183001089642,380110.62079326925,460236.1872191821,0,138356.7585925963,380110.62079326925,13,531.0,273.2307692307692,180.6853405998735,780957.94,380383.84,270256.28
2019-07-27,0.895112112981734,366436.65504807694,429021.2611938329,0,123221.0519770327,366436.65504807694,13,889.0,367.0769230769231,308.82423845354214,693025.44,366803.72,232509.12
2019-07-28,0.9464645215075308,391878.3270733173,491016.19098483707,0,151565.3938979513,391878.3270733173,13,735.0,323.61538461538464,268.319007421371,860114.75,392201.97,308186.25
2019-07-29,0.5076480511289055,407252.28094951925,491101.20610614633,0,140004.35579464032,407252.28094951925,13,846.0,390.2307692307692,278.6354110799492,899760.06,407642.53,285803.97
2019-07-30,0.9643728145488152,518574.0342548077,589990.067685588,0,96519.38404947585,518574.0342548077,13,848.0,517.5384615384615,275.8648870324672,874679.75,519091.56,293125.53
2019-07-31,0.9597331517020352,542392.4685997596,634006.8143665937,0,131183.5057312033,542392.4685997596,13,860.0,440.3076923076923,291.2279704445141,961790.6,542832.75,341975.72
2019-08-01,0.9956038122396675,514115.74188701925,597911.2786829227,0,124233.66956897985,514115.74188701925,13,861.0,485.7692307692308,307.20057341693274,907804.1,514601.53,318029.22
2019-08-02,0.9847196325191769,515439.0399639423,594947.8789019093,0,103547.85325204143,515439.0399639423,13,839.0,501.6923076923077,285.43778791398796,880877.4,515940.72,309542.62
2019-08-03,0.9842234911172524,531103.919921875,627980.7529311992,0,179729.94176871062,531103.919921875,13,880.0,462.84615384615387,317.77189044812377,955352.9,531566.75,349090.34
2019-08-04,0.9859796720224098,516732.39513221156,607875.3621526618,0,173107.14129336856,516732.39513221156,13,900.0,472.61538461538464,310.4600184837382,929422.8,517205.0,333535.4
2019-08-05,0.9745873709692784,516463.30078125,596520.5678424262,0,105212.85319004508,516463.30078125,13,890.0,525.9230769230769,309.07751496414335,886895.8,516989.22,310990.22
2019-08-06,0.9991159869344253,587581.9867788461,672843.8034885696,0,107708.36770905103,587581.9867788461,13,937.0,549.0769230769231,322.52298665843483,984904.1,588131.0,341528.5
2019-08-07,0.9935296803685312,550439.4759615385,636566.3905058043,0,108613.96766111357,550439.4759615385,13,905.0,520.6153846153846,313.7176380286203,961990.25,550960.1,333106.8
2019-08-08,0.9610987598490403,525849.2197265625,629235.3653483848,0,188319.78299806346,525849.2197265625,13,873.0,436.9230769230769,340.62478416836257,957342.6,526286.2,360009.72
2019-08-09,0.9354553983585966,469227.3497596154,554538.6092988708,0,170772.7115185788,469227.3497596154,13,940.0,475.53846153846155,335.55740079868485,847423.56,469702.88,307912.62
2019-08-10,0.8870891186956634,375666.14708533656,451572.0739979649,0,154008.39975720327,375666.14708533656,13,824.0,410.61538461538464,318.4377329142854,800908.8,376076.72,261098.42
2019-08-11,0.45570265083386363,370551.4393028846,432207.35997053055,0,109708.91988533807,370551.4393028846,13,957.0,368.0,228.34878293230875,757503.25,370919.47,231662.61
2019-08-12,0.9784640389204472,503539.81024639425,592507.6065135123,0,97882.3274545249,503539.81024639425,13,912.0,487.7692307692308,306.381340229828,929835.1,504027.62,325321.3
2019-08-13,0.9363787699272924,519000.63115985575,615703.6437634834,0,112017.1235179731,519000.63115985575,13,933.0,472.3076923076923,320.65723772053565,937701.5,519472.94,345080.5
2019-08-14,0.9823692272070665,516150.32782451925,608041.4333780005,0,105866.08068312849,516150.32782451925,13,934.0,493.0,320.6763685296023,926191.6,516643.38,334847.28
2019-08-15,0.9348303288940288,400963.47010216344,508641.6615393477,0,131120.47039703143,400963.47010216344,13,838.0,372.0,313.11472870712,877091.56,401335.47,326032.9
2019-08-16,0.9836995694640928,303854.14573317306,362259.25983568106,0,152481.10202449665,303854.14573317306,13,486.0,257.84615384615387,177.60060348707816,520023.75,304112.0,205470.73
2019-08-17,0.9836509928029301,455175.7411358173,539517.1348258612,0,108425.59829168767,455175.7411358173,13,856.0,474.0,320.1169057287249,826926.6,455649.78,301786.16
2019-08-18,0.9979931852197341,560174.3728966346,654895.6182302444,0,104069.8437766202,560174.3728966346,13,938.0,541.8461538461538,328.1165560574083,976374.0,560716.25,353433.72
2019-08-19,0.9988623571749738,557407.0482271635,648389.4932495173,0,100975.0951715489,557407.0482271635,13,938.0,545.2307692307693,327.5401130259096,969708.5,557952.25,345071.3
2019-08-20,0.9981712540838786,569059.2629206731,660369.8858126156,0,100919.10312043822,569059.2629206731,13,961.0,558.8461538461538,334.7506151734069,980124.0,569618.1,349067.47
2019-08-21,0.9984550548918597,565220.4194711539,657534.2535510291,0,100049.22764647515,565220.4194711539,13,960.0,558.2307692307693,335.44104147777193,981122.1,565778.6,350025.66
2019-08-22,0.9986390797511134,563003.1358173077,655298.6083262964,0,100851.49731991034,563003.1358173077,13,960.0,558.0769230769231,336.05988095835477,979253.9,563561.2,349354.28
2019-08-23,0.9987181572561842,559167.8811598558,651486.4840354009,0,103152.95197482053,559167.8811598558,13,955.0,550.6153846153846,335.1684995295994,974603.1,559718.56,348299.88
2019-08-24,0.9985573758019287,554306.8455528846,646991.9634747336,0,109120.54501094874,554306.8455528846,13,940.0,543.5384615384615,336.50498148482524,973285.44,554850.4,347641.47
2019-08-25,0.979713334228487,525952.7609675481,619114.4067690623,0,104060.86780043939,525952.7609675481,13,921.0,490.15384615384613,303.63323438919036,963393.75,526442.9,340247.53
2019-08-26,0.9616764570204148,481346.8306039664,570295.924627502,0,259394.49851150476,481346.8306039664,13,807.0,422.6923076923077,311.1619044311671,917231.25,481769.5,318635.38
2019-08-27,0.863184950234675,359916.7247596154,454571.02220534236,0,228085.02416960895,359916.7247596154,13,873.0,355.2307692307692,323.6394995068211,788307.9,360271.97,289276.4
2019-08-28,0.7537024120491443,351853.5390625,449646.0704317002,0,280490.0332058577,351853.5390625,13,921.0,289.46153846153845,344.96657214494843,753213.44,352142.97,291657.22
2019-08-29,0.7417999462055089,277566.2010216346,374266.8082374252,0,196474.66971340438,277566.2010216346,13,573.0,265.7692307692308,206.73540006739447,701189.44,277831.97,261468.02
2019-08-30,0.9269702086689778,479848.361328125,559290.992332672,0,124664.88542548638,479848.361328125,13,908.0,467.7692307692308,291.3283239022466,904498.8,480316.16,299320.7
2019-08-31,0.7641331690670676,406482.8515625,505589.6266306494,0,263093.6889149969,406482.8515625,13,896.0,358.84615384615387,356.40984043510133,834824.5,406841.66,313202.4
