date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.962559373511742,429398.7218191964,549343.3504707107,0,179670.91289334305,429398.7218191964,14,883.0,362.5,333.19404140946045,919630.6,429761.22,355883.97
2019-07-22,0.8899274586575541,352000.28383091517,454188.4828997423,0,180939.75107097632,352000.28383091517,14,869.0,341.85714285714283,323.41253891843826,793179.06,352342.1,298147.03
2019-07-23,0.8697762433710506,370055.37918526784,453666.76475684164,0,126840.70899526414,370055.37918526784,14,832.0,398.14285714285717,266.94506987331744,821443.7,370453.53,272574.66
2019-07-24,0.9821374982878287,422002.8533063616,515953.39457686566,0,294670.8483639336,422002.8533063616,14,728.0,372.85714285714283,298.9265042532277,792591.4,422375.72,308352.12
2019-07-25,0.4814700301771357,111786.25334821429,135099.54815445817,0,238024.93018200234,111786.25334821429,14,161.0,74.85714285714286,54.34201822765644,218124.06,111861.11,78756.51
2019-07-26,0.926156360475435,90238.55559430804,116029.6142860389,0,157218.56877741692,90238.55559430804,14,141.0,66.85714285714286,47.134598011124794,224690.86,90305.42,75734.44
2019-07-27,0.8249466603936632,82540.84040178571,103893.39839595168,0,220027.59179553296,82540.84040178571,14,98.0,46.285714285714285,34.82357418016305,208666.72,82587.12,65504.42
2019-07-28,0.6348513089293911,295678.5682198661,352776.2440639462,0,143094.51809351574,295678.5682198661,14,944.0,343.2857142857143,253.2813663684136,560532.2,296021.84,199843.84
2019-07-29,0.6614224583056854,412306.05887276784,472811.7032021385,0,129047.19726335292,412306.05887276784,14,745.0,379.42857142857144,227.77610946707307,765058.7,412685.5,240305.14
2019-07-30,0.7890109950844901,321814.40290178574,385924.01663295325,0,173039.52280665393,321814.40290178574,14,652.0,280.2142857142857,203.5130608439319,583473.5,322094.66,221210.44
2019-07-31,0.8849942620608848,358547.4083426339,438741.9289722727,0,232414.71878716093,358547.4083426339,14,670.0,276.2142857142857,241.41001781884842,723538.1,358823.66,262618.97
2019-08-01,0.9047770168215888,440692.4864676339,544751.8019382812,0,125828.82997020792,440692.4864676339,14,903.0,405.92857142857144,269.5339180270879,898382.8,441098.44,332558.03
2019-08-02,0.7898507452843774,380756.24679129466,465250.6592026757,0,230561.1004940693,380756.24679129466,14,745.0,322.2142857142857,251.12000764924775,773648.44,381078.47,277653.78
2019-08-03,0.4799194514724658,242423.6782924107,294848.84104022547,0,311613.6934361463,242423.6782924107,14,404.0,151.78571428571428,128.81780728038913,516546.6,242575.47,174226.25
2019-08-04,0.7999348823085354,312325.38839285716,399534.46084160224,0,294088.17402508104,312325.38839285716,14,784.0,290.14285714285717,293.67089301902803,756872.44,312615.53,258800.27
2019-08-05,0.958232582895038,372861.4894670759,490891.2987884543,0,215499.4641546206,372861.4894670759,14,859.0,331.42857142857144,319.89029712981636,829647.8,373192.97,331653.44
2019-08-06,-0.2638285696271744,93377.81947544643,108130.17527101106,0,383609.21374369465,93377.81947544643,14,364.0,99.71428571428571,101.751906859039,201965.22,93477.55,56553.88
2019-08-07,0.8904002783083942,382499.19461495534,477985.6929967316,0,166150.939578354,382499.19461495534,14,760.0,349.35714285714283,293.3387663915765,832863.7,382848.5,297725.53
