date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.9758472643193921,512008.02301897324,604292.4007354848,0,100643.28275516829,512008.02301897324,14,948.0,512.5,336.5601443564445,903659.4,512520.53,333407.22
2019-07-22,0.9896569218483683,537233.4800502232,626828.8172172171,0,99823.62315928956,537233.4800502232,14,963.0,519.3571428571429,329.1278935758413,945146.5,537752.8,335463.3
2019-07-23,0.9831265765191332,514324.05496651784,607491.8182919986,0,94083.44709401763,514324.05496651784,14,877.0,506.5,300.5606939858084,963045.75,514830.56,335790.4
2019-07-24,0.9886864237958902,531110.0283203125,622027.5964838134,0,117901.77158668509,531110.0283203125,14,789.0,471.2142857142857,298.5326109158257,921573.9,531581.2,336308.72
2019-07-25,0.6781595131587614,112600.3615373884,125511.62629217323,0,291212.6030118828,112600.3615373884,14,115.0,54.07142857142857,39.233941910063,190250.6,112654.44,57566.27
2019-07-26,0.9664274045810611,62781.98549107143,70429.41792832717,0,151156.91064709524,62781.98549107143,14,95.0,49.285714285714285,31.98900910151334,108599.51,62831.273,33153.242
2019-07-27,0.9672270221199561,73977.8220563616,88668.7183153098,0,147398.8979510955,73977.8220563616,14,132.0,64.21428571428571,47.1856865054331,152553.75,74042.04,50772.605
2019-07-28,0.6740991200782018,73360.09605189732,89579.54369995621,0,171120.05452214545,73360.09605189732,14,119.0,60.857142857142854,41.53007648376358,207063.25,73420.95,53376.676
2019-07-29,0.8540059637186259,315809.94559151784,386214.96707730007,0,140930.79588283988,315809.94559151784,14,878.0,367.35714285714283,281.48359896007526,665787.8,316177.28,230952.47
2019-07-30,0.9121979923807858,480621.44670758926,566553.357806758,0,97718.76859647663,480621.44670758926,14,950.0,482.92857142857144,322.76627988154434,883094.6,481104.34,311594.44
2019-07-31,0.9536451389321372,479808.7333984375,562851.5016503357,0,114311.29797378529,479808.7333984375,14,955.0,465.92857142857144,312.95894650545176,849598.6,480274.66,305660.2
2019-08-01,0.7981561030343866,215282.82491629463,249943.42581217267,0,297237.36336990783,215282.82491629463,14,440.0,173.92857142857142,160.79488333120088,425486.3,215456.77,131906.17
2019-08-02,0.9886670592851137,493001.07073102676,601934.0308092949,0,101010.10927030502,493001.07073102676,14,871.0,456.2142857142857,317.03364989356436,938689.2,493457.28,358711.94
2019-08-03,0.7837680782457402,417567.3231026786,498361.9847446854,0,137064.61969458507,417567.3231026786,14,852.0,388.92857142857144,299.58393309226875,831901.3,417956.25,282537.2
2019-08-04,0.9973775229280221,543879.7391183035,637613.1002785397,0,99657.61836346236,543879.7391183035,14,966.0,553.3571428571429,343.80911679478305,946201.0,544433.1,345689.34
2019-08-05,0.9853000713504098,510855.19991629466,602224.6653127375,0,106730.36429181263,510855.19991629466,14,848.0,483.7857142857143,294.51712202321136,952210.1,511338.97,331235.34
2019-08-06,0.9809472193126569,489581.84640066966,577444.9822790725,0,111067.99502668767,489581.84640066966,14,943.0,492.85714285714283,342.19851574170247,894544.6,490074.72,318084.06
2019-08-07,0.877178213414381,424829.26297433034,505361.8969316246,0,127444.66356821108,424829.26297433034,14,839.0,377.07142857142856,272.4799115490942,840809.8,425206.3,284269.1
2019-08-08,0.9845812928350548,502433.57868303574,599276.8529356079,0,126975.08543301324,502433.57868303574,14,871.0,465.92857142857144,319.12680486354884,908762.0,502899.5,339283.84
2019-08-09,0.9581883692758444,433119.85686383926,550787.0829638467,0,252873.56254397918,433119.85686383926,14,928.0,393.7142857142857,354.41792552587674,914314.6,433513.53,353439.1
