date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.8145798934786154,559660.4591346154,643349.559174537,0,210413.10905888464,559660.4591346154,13,917.9999999999999,429.2307692307692,356.5405899861786,938335.06,560089.6,330545.9
2019-07-22,0.9162471530819252,560101.59375,641058.3601912623,0,149966.5573026336,560101.59375,13,948.0,499.6923076923077,347.07669292136393,938719.75,560601.3,324887.75
2019-07-23,0.9863892791779042,546400.7313701923,634558.5729145256,0,187288.33508611014,546400.7313701923,13,907.0,493.9230769230769,338.34190339025935,934967.2,546894.6,336171.1
2019-07-24,0.9953812116273493,541497.9756610577,622007.630306641,0,95426.05954618938,541497.9756610577,13,940.0,556.8461538461538,316.9329177585919,923704.7,542054.9,318874.03
2019-07-25,0.9276275118012267,559255.6571514423,639889.3874598333,0,146783.96543964188,559255.6571514423,13,747.0,432.53846153846155,251.8774885351393,931118.44,559688.2,323883.4
2019-07-26,0.9219516463510982,565106.5859375,646435.2217628987,0,223750.78393132056,565106.5859375,13,531.0,273.2307692307692,180.6853405998735,946247.0,565379.8,326883.78
2019-07-27,0.7491844782353162,556684.6893028846,637973.4539486439,0,218649.0633599377,556684.6893028846,13,889.0,367.0769230769231,308.82423845354214,942351.5,557051.75,324584.47
2019-07-28,0.9131308914412697,541519.3257211539,622118.2368342547,0,280817.0696051544,541519.3257211539,13,735.0,323.61538461538464,268.319007421371,928476.0,541842.94,318998.16
2019-07-29,0.6592201390390345,469845.72716346156,543662.4917203486,0,155069.60495961405,469845.72716346156,13,846.0,390.2307692307692,278.6354110799492,827181.94,470235.94,284873.6
2019-07-30,0.9464156627263773,489279.0991586539,561484.4911243287,0,91876.57466812855,489279.0991586539,13,848.0,517.5384615384615,275.8648870324672,836864.7,489796.66,286954.9
2019-07-31,0.9750042424694247,507909.22986778844,595249.140051834,0,141015.29721580067,507909.22986778844,13,860.0,440.3076923076923,291.2279704445141,902114.56,508349.53,323361.2
2019-08-01,0.9939727992089308,500384.0333533654,580256.1551946988,0,154349.08110960704,500384.0333533654,13,861.0,485.7692307692308,307.20057341693274,882377.3,500869.8,306092.47
2019-08-02,0.9815715180217709,501013.08323317306,576607.5559000525,0,103914.72464434236,501013.08323317306,13,839.0,501.6923076923077,285.43778791398796,858093.25,501514.7,297350.3
2019-08-03,0.9945533400077761,493645.73377403844,578614.8595025428,0,213156.47598760843,493645.73377403844,13,880.0,462.84615384615387,317.77189044812377,881470.6,494108.56,314483.94
2019-08-04,0.9858360631651601,489305.00420673075,565448.543139835,0,170615.59408836096,489305.00420673075,13,900.0,472.61538461538464,310.4600184837382,852827.7,489777.62,295272.8
2019-08-05,0.9600613044302604,471973.8837139423,546507.9349189026,0,104804.73863800378,471973.8837139423,13,890.0,525.9230769230769,309.07751496414335,827861.75,472499.8,287067.6
2019-08-06,0.981597559059661,517021.6844951923,592492.348327908,0,98891.78270711993,517021.6844951923,13,937.0,549.0769230769231,322.52298665843483,875756.25,517570.72,301503.8
2019-08-07,0.9888875013254523,543447.5264423077,622088.9681400455,0,111954.67719281907,543447.5264423077,13,905.0,520.6153846153846,313.7176380286203,908505.5,543968.1,315425.7
2019-08-08,0.9339687538416143,532874.2043269231,613575.9114591797,0,315417.6157063894,532874.2043269231,13,873.0,436.9230769230769,340.62478416836257,918778.1,533311.1,316910.16
2019-08-09,0.9578529958707085,477881.6307091346,561199.5389732503,0,243333.06847348763,477881.6307091346,13,940.0,475.53846153846155,335.55740079868485,860618.1,478357.12,306570.6
2019-08-10,0.9054096708546663,480101.7515024039,552591.844535664,0,211639.1077457118,480101.7515024039,13,824.0,410.61538461538464,318.4377329142854,828535.56,480512.34,285066.06
