date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.9793055185264293,495285.9640066964,590407.4473845678,0,101245.20392402768,495285.9640066964,14,948.0,512.5,336.5601443564445,911401.25,495798.5,333821.47
2019-07-22,0.9568271754031417,485988.4559151786,581362.8997122953,0,91524.08541885496,485988.4559151786,14,963.0,519.3571428571429,329.1278935758413,906190.25,486507.84,331417.1
2019-07-23,0.9796869791885893,488882.31305803574,579652.785296993,0,94669.51981980559,488882.31305803574,14,877.0,506.5,300.5606939858084,895346.8,489388.8,323485.28
2019-07-24,0.986723550629237,498871.4386160714,596031.2714353352,0,110592.59859341934,498871.4386160714,14,789.0,471.2142857142857,298.5326109158257,921366.5,499342.66,338767.16
2019-07-25,0.9455133715898664,500558.19280133926,595943.1677761589,0,916787.8365966486,500558.19280133926,14,115.0,54.07142857142857,39.233941910063,921902.7,500612.25,335648.66
2019-07-26,0.9807614945159244,462082.38839285716,555059.42452186,0,866898.8060122492,462082.38839285716,14,95.0,49.285714285714285,31.98900910151334,877179.56,462131.6,319163.8
2019-07-27,0.9766477046182046,444498.4461495536,530732.6250119213,0,719717.4369457338,444498.4461495536,14,132.0,64.21428571428571,47.1856865054331,841018.1,444562.7,300990.16
2019-07-28,0.9217553520380768,448727.41071428574,540756.4329063281,0,748160.9526797564,448727.41071428574,14,119.0,60.857142857142854,41.53007648376358,857254.6,448788.25,313193.1
2019-07-29,0.7449252212868935,435005.4093191964,520350.7365648307,0,253271.30789595598,435005.4093191964,14,878.0,367.35714285714283,281.48359896007526,822710.44,435372.75,296532.28
2019-07-30,0.9224570989500648,475937.171875,559763.2140738643,0,108154.6422995081,475937.171875,14,950.0,482.92857142857144,322.76627988154434,867194.0,476420.1,306070.53
2019-07-31,0.8749351953877664,473493.16071428574,564393.748008057,0,132567.3636430322,473493.16071428574,14,955.0,465.92857142857144,312.95894650545176,877578.8,473959.1,319024.16
2019-08-01,0.516064300695287,459290.95535714284,550521.6512028644,0,572219.5318937383,459290.95535714284,14,440.0,173.92857142857142,160.79488333120088,865302.1,459464.9,315063.12
2019-08-02,0.938048164384132,448291.01953125,541744.8636467513,0,109283.8540595693,448291.01953125,14,871.0,456.2142857142857,317.03364989356436,861999.8,448747.25,315955.1
2019-08-03,0.696619552149494,425250.68722098216,510303.52393111686,0,155191.91057205023,425250.68722098216,14,852.0,388.92857142857144,299.58393309226875,815474.5,425639.66,292941.3
2019-08-04,0.9890492710062125,449344.37527901784,538887.2117008857,0,87761.27923529246,449344.37527901784,14,966.0,553.3571428571429,343.80911679478305,848485.94,449897.72,309040.4
2019-08-05,0.9797251679129041,463209.86872209824,558858.8274534539,0,102871.12360190481,463209.86872209824,14,848.0,483.7857142857143,294.51712202321136,877591.9,463693.66,324757.0
2019-08-06,0.9463773662308819,451461.99748883926,544820.7384172574,0,109970.96584129338,451461.99748883926,14,943.0,492.85714285714283,342.19851574170247,868668.4,451954.94,316814.66
2019-08-07,0.7922730301684855,474852.61858258926,569722.2307884278,0,157567.8320581176,474852.61858258926,14,839.0,377.07142857142856,272.4799115490942,890788.44,475229.6,326898.22
